date,state,district,tested,confirmed,recovered,id
2020-08-07,JK,Samba,0,11,0,1
2020-08-07,JK,Kupwara,0,28,6,2
2020-08-07,JK,Bandipora,0,48,48,3
2020-08-07,JK,Pulwama,490,26,30,4
2020-08-07,JK,Ramban,0,1,67,5
2020-08-07,JK,Doda,0,3,17,6
2020-08-07,JK,Srinagar,0,123,142,7
2020-08-07,JK,Kulgam,0,21,33,8
2020-08-07,JK,Punch,0,1,0,9
2020-08-07,JK,Baramulla,0,32,56,10
2020-08-07,JK,Ganderbal,0,27,0,11
2020-08-07,JK,Kishtwar,0,0,10,12
2020-08-07,JK,Reasi,0,16,2,13
2020-08-07,JK,Rajouri,0,3,10,14
2020-08-07,JK,Shopiyan,0,8,3,15
2020-08-07,JK,Budgam,0,24,50,16
2020-08-07,JK,Udhampur,0,23,21,17
2020-08-07,JK,Anantnag,0,8,0,18
2020-08-07,JK,Jammu,0,61,13,19
2020-08-07,JK,Kathua,0,9,2,20
2020-08-07,DL,Delhi,23385,1192,1108,21
2020-08-07,HP,Kinnaur,0,0,2,22
2020-08-07,HP,Bilaspur,0,4,1,23
2020-08-07,HP,Shimla,135,8,13,24
2020-08-07,HP,Mandi,317,1,10,25
2020-08-07,HP,Sirmaur,0,15,12,26
2020-08-07,HP,Solan,337,36,25,27
2020-08-07,HP,Una,0,8,5,28
2020-08-07,HP,Chamba,70,13,0,29
2020-08-07,HP,Kangra,400,12,15,30
2020-08-07,HP,Kullu,456,6,6,31
2020-08-07,HP,Hamirpur,360,0,0,32
2020-08-07,PY,Yanam,144,1,1,33
2020-08-07,PY,Mahe,28,0,0,34
2020-08-07,PY,Karaikal,133,10,19,35
2020-08-07,PY,Puducherry,551,230,86,36
2020-08-07,DN,Diu,235,1,7,37
2020-08-07,DN,Daman,96,19,19,38
2020-08-07,DN,"Dadra and Nagar Haveli",226,24,15,39
2020-08-07,HR,Nuh,0,8,5,40
2020-08-07,HR,Rewari,0,49,96,41
2020-08-07,HR,Sonipat,0,60,76,42
2020-08-07,HR,Kurukshetra,0,16,16,43
2020-08-07,HR,Kaithal,0,5,10,44
2020-08-07,HR,Rohtak,0,43,25,45
2020-08-07,HR,Sirsa,0,13,18,46
2020-08-07,HR,Mahendragarh,0,23,8,47
2020-08-07,HR,Palwal,0,41,39,48
2020-08-07,HR,Hisar,0,24,19,49
2020-08-07,HR,"Charkhi Dadri",0,3,13,50
2020-08-07,HR,Panipat,0,38,41,51
2020-08-07,HR,Yamunanagar,0,15,8,52
2020-08-07,HR,Ambala,0,79,73,53
2020-08-07,HR,Jhajjar,0,0,6,54
2020-08-07,HR,Bhiwani,0,8,6,55
2020-08-07,HR,Karnal,0,20,33,56
2020-08-07,HR,Fatehabad,0,63,13,57
2020-08-07,HR,Faridabad,1755,159,185,58
2020-08-07,HR,Panchkula,0,30,41,59
2020-08-07,HR,Gurugram,2740,54,73,60
2020-08-07,WB,Murshidabad,0,100,35,61
2020-08-07,WB,Hooghly,0,239,124,62
2020-08-07,WB,"Paschim Bardhaman",0,59,25,63
2020-08-07,WB,Alipurduar,0,41,17,64
2020-08-07,WB,"Purba Medinipur",0,109,20,65
2020-08-07,WB,Bankura,0,28,57,66
2020-08-07,WB,Kolkata,0,675,597,67
2020-08-07,WB,Purulia,0,4,21,68
2020-08-07,WB,"North 24 Parganas",0,573,470,69
2020-08-07,WB,Darjeeling,0,83,117,70
2020-08-07,WB,"Dakshin Dinajpur",0,37,12,71
2020-08-07,WB,Nadia,0,98,42,72
2020-08-07,WB,Kalimpong,0,1,6,73
2020-08-07,WB,"Uttar Dinajpur",0,38,15,74
2020-08-07,WB,Birbhum,0,56,13,75
2020-08-07,WB,"Cooch Behar",0,98,8,76
2020-08-07,WB,Jalpaiguri,0,17,49,77
2020-08-07,WB,"South 24 Parganas",0,202,175,78
2020-08-07,WB,Howrah,0,213,118,79
2020-08-07,WB,"Purba Bardhaman",0,81,39,80
2020-08-07,WB,"Paschim Medinipur",0,64,48,81
2020-08-07,WB,Malda,0,96,29,82
2020-08-07,BR,Katihar,0,211,65,83
2020-08-07,BR,Araria,0,82,34,84
2020-08-07,BR,"West Champaran",5147,118,70,85
2020-08-07,BR,Banka,0,128,21,86
2020-08-07,BR,Jamui,0,32,59,87
2020-08-07,BR,Samastipur,175,105,65,88
2020-08-07,BR,Sheikhpura,1677,86,21,89
2020-08-07,BR,Bhojpur,2095,75,48,90
2020-08-07,BR,Supaul,0,75,37,91
2020-08-07,BR,Saran,7069,75,94,92
2020-08-07,BR,Sitamarhi,2336,113,74,93
2020-08-07,BR,Buxar,0,88,93,94
2020-08-07,BR,Purnia,5036,104,42,95
2020-08-07,BR,Gopalganj,200,90,39,96
2020-08-07,BR,Madhubani,0,87,88,97
2020-08-07,BR,Begusarai,6686,96,68,98
2020-08-07,BR,Bhagalpur,0,124,67,99
2020-08-07,BR,Kishanganj,0,23,28,100
2020-08-07,BR,Rohtas,294,114,101,101
2020-08-07,BR,Gaya,0,87,97,102
